text,processed_text,vader_neg,vader_neu,vader_pos,compound,roberta_neg,roberta_neu,roberta_pos,label
i feel personally offended at that act whether it was for ignorance whether they just didnt know about it i feel like thats not an excuse ayana baines member of uc irvines black student union told abc news affiliate kabc tv,"['feel', 'personally', 'offended', 'act', 'whether', 'ignorance', 'whether', 'didnt', 'know', 'feel', 'like', 'thats', 'excuse', 'ayana', 'baines', 'member', 'uc', 'irvines', 'black', 'student', 'union', 'told', 'abc', 'news', 'affiliate', 'kabc', 'tv']",0.132,0.81,0.058,-0.3009,0.9089334,0.08591926,0.0051473393,Anger
im already feeling a bit bothered about the a href http www,"['im', 'already', 'feeling', 'bit', 'bothered', 'href', 'http', 'www']",0.195,0.678,0.127,-0.2023,0.85254127,0.13975747,0.007701282,Anger
i found out once i quit trying because i was met with much defense was i was trying to tell this other person how to feel i was telling them that what they were bothered by was silly,"['found', 'quit', 'trying', 'met', 'much', 'defense', 'trying', 'tell', 'person', 'feel', 'telling', 'bothered', 'silly']",0.066,0.86,0.074,-0.1779,0.7721649,0.2169168,0.010918344,Anger
i dont know how else to describe it but i am feeling so totally frustrated with my fiance i have the same stupid argument with him every other week,"['dont', 'know', 'else', 'describe', 'feeling', 'totally', 'frustrated', 'fiance', 'stupid', 'argument', 'every', 'week']",0.359,0.594,0.047,-0.9268,0.9485641,0.04506738,0.0063685765,Anger
i believe that but i really feel like i just pissed away a year,"['believe', 'really', 'feel', 'like', 'pissed', 'away', 'year']",0.332,0.458,0.21,-0.4823,0.8236093,0.16061026,0.015780438,Anger
ive been feeling so grouchy and depressed lately but last night was supposed to be warmer was actually pretty dang cold when i got to the barn hubby was home at a decent time and i felt less sick than i have so off to ride i went,"['ive', 'feeling', 'grouchy', 'depressed', 'lately', 'last', 'night', 'supposed', 'warmer', 'actually', 'pretty', 'dang', 'cold', 'got', 'barn', 'hubby', 'home', 'decent', 'time', 'felt', 'less', 'sick', 'ride', 'went']",0.16,0.685,0.155,-0.0805,0.32625288,0.3112491,0.36249804,Anger
i feeling so enraged,"['feeling', 'enraged']",0.545,0.182,0.273,-0.3597,0.87441814,0.10750264,0.01807922,Anger
i tried it a few times and couldnt stand the feeling of being insincere,"['tried', 'time', 'couldnt', 'stand', 'feeling', 'insincere']",0.294,0.706,0.0,-0.4888,0.7916518,0.1953086,0.013039615,Anger
i appreciate the ticket to go i really started to feel annoyed by it truthfully because it felt like it wasn t even considered what my current situation is,"['appreciate', 'ticket', 'go', 'really', 'started', 'feel', 'annoyed', 'truthfully', 'felt', 'like', 'even', 'considered', 'current', 'situation']",0.08,0.673,0.248,0.6705,0.79322046,0.1888319,0.017947584,Anger
i feel slightly greedy by wanting her all to myself,"['feel', 'slightly', 'greedy', 'wanting']",0.201,0.799,0.0,-0.2516,0.51026785,0.43654746,0.05318468,Anger
i had a feeling that they would do this to us so no need to get that furious,"['feeling', 'would', 'u', 'need', 'get', 'furious']",0.312,0.617,0.071,-0.7241,0.79465467,0.19471453,0.010630773,Anger
i already feel like i m treading water in dangerous seas where pirates masquerade as small children a husband and various work clients together they hang from my neck and steal increasingly more of my resources,"['already', 'feel', 'like', 'treading', 'water', 'dangerous', 'sea', 'pirate', 'masquerade', 'small', 'child', 'husband', 'various', 'work', 'client', 'together', 'hang', 'neck', 'steal', 'increasingly', 'resource']",0.167,0.767,0.066,-0.5859,0.9062252,0.0869714,0.0068032937,Anger
i left the theatre feeling irrationally enraged about almost every aspect of the thing,"['left', 'theatre', 'feeling', 'irrationally', 'enraged', 'almost', 'every', 'aspect', 'thing']",0.315,0.595,0.089,-0.5859,0.91729593,0.072023414,0.010680723,Anger
i feel tortured and wracked with pain still and an odd feeling in my head,"['feel', 'tortured', 'wracked', 'pain', 'still', 'odd', 'feeling', 'head']",0.444,0.483,0.072,-0.8271,0.90211475,0.09216223,0.005722985,Anger
i was feeling grumpy yesterday morning,"['feeling', 'grumpy', 'yesterday', 'morning']",0.0,0.727,0.273,0.128,0.8145669,0.17311013,0.012322939,Anger
i have a strong feeling the you shouldnt assign homework mainly because im beyond stressed,"['strong', 'feeling', 'shouldnt', 'assign', 'homework', 'mainly', 'im', 'beyond', 'stressed']",0.14,0.581,0.279,0.34,0.8495983,0.13959844,0.010803217,Anger
i feel agitated because i know there are things i cannot solve,"['feel', 'agitated', 'know', 'thing', 'cannot', 'solve']",0.396,0.604,0.0,-0.5562,0.88229376,0.108767174,0.008939016,Anger
i feel i m heartless manytimes,"['feel', 'heartless', 'manytimes']",0.615,0.385,0.0,-0.4939,0.8803516,0.107478276,0.012170164,Anger
i had to listen to puff daddy for hours at a time i d feel tortured too,"['listen', 'puff', 'daddy', 'hour', 'time', 'feel', 'tortured']",0.231,0.769,0.0,-0.5574,0.8477653,0.13986899,0.012365723,Anger
when i found out that the seat in the coach that i had booked had been sold to somebody else,"['found', 'seat', 'coach', 'booked', 'sold', 'somebody', 'else']",0.0,1.0,0.0,0.0,0.54254156,0.44503424,0.012424234,Anger
i gave up feeling jealous i am learning to let go now i see this as a good problem perhaps the change was too sudden and drastic,"['gave', 'feeling', 'jealous', 'learning', 'let', 'go', 'see', 'good', 'problem', 'perhaps', 'change', 'sudden', 'drastic']",0.196,0.653,0.151,-0.3182,0.31019822,0.5052183,0.18458351,Anger
i am in a pissed off mood for no reason again i feel so savage,"['pissed', 'mood', 'reason', 'feel', 'savage']",0.533,0.467,0.0,-0.8825,0.9493878,0.04430323,0.0063089426,Anger
i will be honest that im feeling very bitter with yr intrudence into my zone and i do not appreciate it at all,"['honest', 'im', 'feeling', 'bitter', 'yr', 'intrudence', 'zone', 'appreciate']",0.197,0.626,0.177,-0.1408,0.92916435,0.0647708,0.0060648057,Anger
i just feel a little frustrated,"['feel', 'little', 'frustrated']",0.509,0.491,0.0,-0.4779,0.7987709,0.18814999,0.013079062,Anger
im feeling greedy week ago,"['im', 'feeling', 'greedy', 'week', 'ago']",0.338,0.441,0.221,-0.2023,0.48470533,0.45095435,0.06434035,Anger
i havent had a chance to write in a little while but because i am fortunate enough to be in the middle of two days off in a row im finding myself with a little bit of time to do the things that i really enjoy without feeling rushed to run out the door to work,"['havent', 'chance', 'write', 'little', 'fortunate', 'enough', 'middle', 'two', 'day', 'row', 'im', 'finding', 'little', 'bit', 'time', 'thing', 'really', 'enjoy', 'without', 'feeling', 'rushed', 'run', 'door', 'work']",0.058,0.791,0.151,0.8057,0.019131819,0.14775279,0.8331154,Anger
i hate it enough myself so how must she feel she would of have hated everything she went through already,"['hate', 'enough', 'must', 'feel', 'would', 'hated', 'everything', 'went', 'already']",0.317,0.683,0.0,-0.836,0.9349599,0.05920415,0.0058359755,Anger
i feel the cold setting in there s no life left in him,"['feel', 'cold', 'setting', 'life', 'left']",0.18,0.82,0.0,-0.296,0.8849152,0.107192256,0.007892545,Anger
i am feeling agitated and angry that nothing is working out for me,"['feeling', 'agitated', 'angry', 'nothing', 'working']",0.375,0.536,0.089,-0.7003,0.91957515,0.072398774,0.008026108,Anger
i dont know how to let things go especially when i feel as though i have been wronged,"['dont', 'know', 'let', 'thing', 'go', 'especially', 'feel', 'though', 'wronged']",0.172,0.828,0.0,-0.4404,0.8843424,0.10903202,0.0066256225,Anger
i should post an image of my new tattoo which i got done in kavos whilst feeling rebellious,"['post', 'image', 'new', 'tattoo', 'got', 'done', 'kavos', 'whilst', 'feeling', 'rebellious']",0.124,0.791,0.085,-0.1779,0.09638671,0.80702645,0.09658691,Anger
i will add that random loud gunshot noises from various places around the house are not helpful for feeling agitated or jumpy or nervous,"['add', 'random', 'loud', 'gunshot', 'noise', 'various', 'place', 'around', 'house', 'helpful', 'feeling', 'agitated', 'jumpy', 'nervous']",0.375,0.625,0.0,-0.8317,0.8637107,0.1272925,0.008996754,Anger
i dont object to it but when i feel cheated i get infuriated,"['dont', 'object', 'feel', 'cheated', 'get', 'infuriated']",0.554,0.446,0.0,-0.899,0.86446637,0.12741703,0.0081166355,Anger
i will somehow become a visionary and enact legislation instead of just bitching about the bush administration i cant help but feel a little dissatisfied knowing that evangelicalism and the fear of the end times still exists,"['somehow', 'become', 'visionary', 'enact', 'legislation', 'instead', 'bitching', 'bush', 'administration', 'cant', 'help', 'feel', 'little', 'dissatisfied', 'knowing', 'evangelicalism', 'fear', 'end', 'time', 'still', 'exists']",0.257,0.689,0.054,-0.8042,0.8583734,0.12769926,0.013927337,Anger
im feeling so petty and temperamental lately,"['im', 'feeling', 'petty', 'temperamental', 'lately']",0.267,0.564,0.169,-0.2183,0.89386725,0.097666256,0.008466484,Anger
i had gotten back from dropping her off at daycare i was feeling a bit grumpy about feeling tired,"['gotten', 'back', 'dropping', 'daycare', 'feeling', 'bit', 'grumpy', 'feeling', 'tired']",0.153,0.688,0.159,-0.2263,0.6458413,0.33403233,0.02012634,Anger
i can feel the hated eminating from downstairs towards arse,"['feel', 'hated', 'eminating', 'downstairs', 'towards', 'arse']",0.344,0.656,0.0,-0.6369,0.80673367,0.17401196,0.019254366,Anger
i feel grumpy and depressed,"['feel', 'grumpy', 'depressed']",0.524,0.476,0.0,-0.5106,0.87466395,0.10841238,0.016923679,Anger
i really don t feel like violent protesters are really doing anything to help tibet after all you don t get results by publicly taking a giant swing at somebody and putting them in a corner with very few face saving options,"['really', 'feel', 'like', 'violent', 'protester', 'really', 'anything', 'help', 'tibet', 'get', 'result', 'publicly', 'taking', 'giant', 'swing', 'somebody', 'putting', 'corner', 'face', 'saving', 'option']",0.131,0.746,0.123,-0.0865,0.9112259,0.08361673,0.005157355,Anger
i feel like a violent make out session is in need,"['feel', 'like', 'violent', 'make', 'session', 'need']",0.291,0.522,0.187,-0.34,0.6405597,0.31003416,0.049406223,Anger
i sometimes i feel really dissatisfied and stuck,"['sometimes', 'feel', 'really', 'dissatisfied', 'stuck']",0.563,0.437,0.0,-0.6318,0.87455004,0.11698896,0.008460995,Anger
i feel yikky and dissatisfied,"['feel', 'yikky', 'dissatisfied']",0.464,0.536,0.0,-0.3818,0.8967867,0.09161117,0.01160206,Anger
i feel tortured i still couldnt brag bad things about you i am hurt to the core youre sacrificing me just for your peace you will one face the same thing,"['feel', 'tortured', 'still', 'couldnt', 'brag', 'bad', 'thing', 'hurt', 'core', 'youre', 'sacrificing', 'peace', 'one', 'face', 'thing']",0.187,0.643,0.17,-0.1655,0.94286823,0.052638862,0.004492905,Anger
i found out accidentaly that while my uncle was away in canada,"['found', 'accidentaly', 'uncle', 'away', 'canada']",0.0,1.0,0.0,0.0,0.3780809,0.60041434,0.021504799,Anger
i was feeling really frustrated,"['feeling', 'really', 'frustrated']",0.513,0.278,0.209,-0.4927,0.82936424,0.15567975,0.014956007,Anger
i feel like everybody s watching me and judging me for being distracted,"['feel', 'like', 'everybody', 'watching', 'judging', 'distracted']",0.173,0.647,0.18,0.0258,0.5890986,0.38369364,0.027207833,Anger
i was able to enjoy the movie as an action flick without feeling insulted or pigeonholed as a christian,"['able', 'enjoy', 'movie', 'action', 'flick', 'without', 'feeling', 'insulted', 'pigeonholed', 'christian']",0.064,0.658,0.277,0.6738,0.04690364,0.33855087,0.6145455,Anger
i want to protect myself from feeling insulted by them,"['want', 'protect', 'feeling', 'insulted']",0.241,0.365,0.394,0.0258,0.562565,0.40670532,0.030729683,Anger
i feel very bitchy saying it this way like its a too good for that sort of tone of voice but i promise on all the velvets in prague that you would have wanted to scream over their absurd conversations and bop them in the head with spring rolls too,"['feel', 'bitchy', 'saying', 'way', 'like', 'good', 'sort', 'tone', 'voice', 'promise', 'velvet', 'prague', 'would', 'wanted', 'scream', 'absurd', 'conversation', 'bop', 'head', 'spring', 'roll']",0.107,0.771,0.122,-0.0507,0.9016876,0.08854549,0.009766877,Anger
i commute to manhattan for work or a social event i ll see women around my age that dress well and have good hair no frizz nothing out of place and i feel jealous and i panic for a second,"['commute', 'manhattan', 'work', 'social', 'event', 'see', 'woman', 'around', 'age', 'dress', 'well', 'good', 'hair', 'frizz', 'nothing', 'place', 'feel', 'jealous', 'panic', 'second']",0.2,0.682,0.118,-0.5423,0.35443103,0.47982952,0.1657395,Anger
i am feeling rather hostile and annoyed at my mom as well as the people at college who keep contacting me so i am going to go bindge and hide in my room b c its the only other place besides the bar that i feel at home,"['feeling', 'rather', 'hostile', 'annoyed', 'mom', 'well', 'people', 'college', 'keep', 'contacting', 'going', 'go', 'bindge', 'hide', 'room', 'b', 'c', 'place', 'besides', 'bar', 'feel', 'home']",0.142,0.784,0.074,-0.5106,0.90148014,0.09231127,0.0062085874,Anger
i feel that i rushed my piece in places and therefore hope to slow down for my next task,"['feel', 'rushed', 'piece', 'place', 'therefore', 'hope', 'slow', 'next', 'task']",0.0,0.847,0.153,0.4404,0.6359416,0.34556672,0.018491616,Anger
i had with someone else that hurt my feelings and angered me,"['someone', 'else', 'hurt', 'feeling', 'angered']",0.427,0.573,0.0,-0.7717,0.77416664,0.21637133,0.009462081,Anger
i do this now it sets me up for the day and then i can really give myself to them rather than feeling resentful,"['set', 'day', 'really', 'give', 'rather', 'feeling', 'resentful']",0.126,0.813,0.061,-0.3818,0.030619673,0.2821431,0.6872372,Anger
i feel like i ve been so distracted and not able to give enough attention to the most important thing in my life,"['feel', 'like', 'distracted', 'able', 'give', 'enough', 'attention', 'important', 'thing', 'life']",0.121,0.7,0.179,0.1222,0.7908274,0.1791546,0.03001801,Anger
i have a feeling that stubborn is going to be a much loved shade for me in this palette,"['feeling', 'stubborn', 'going', 'much', 'loved', 'shade', 'palette']",0.128,0.616,0.256,0.4019,0.0041408245,0.028530078,0.9673291,Anger
i spent the day feeling dissatisfied,"['spent', 'day', 'feeling', 'dissatisfied']",0.366,0.423,0.211,-0.2732,0.8835116,0.10572469,0.010763682,Anger
i havent lost sleep over it but at the same time i find myself feeling very bitter and angry about the whole situation,"['havent', 'lost', 'sleep', 'time', 'find', 'feeling', 'bitter', 'angry', 'whole', 'situation']",0.308,0.582,0.111,-0.8296,0.8511502,0.14027561,0.00857421,Anger
i feel many people are jealous competitive sly and untrustworthy,"['feel', 'many', 'people', 'jealous', 'competitive', 'sly', 'untrustworthy']",0.256,0.598,0.145,-0.3182,0.8390355,0.15218227,0.008782184,Anger
i am feeling just a tad and im being really sarcastic here pressed for merriment and joy,"['feeling', 'tad', 'im', 'really', 'sarcastic', 'pressed', 'merriment', 'joy']",0.104,0.5,0.396,0.7512,0.30693212,0.45562398,0.2374439,Anger
i can feel an impatient line growing so i start planning my course of action,"['feel', 'impatient', 'line', 'growing', 'start', 'planning', 'course', 'action']",0.148,0.738,0.114,-0.128,0.26974177,0.6759638,0.05429449,Anger
i hate when i feel agitated even my clothes feel like they are restricting me,"['hate', 'feel', 'agitated', 'even', 'clothes', 'feel', 'like', 'restricting']",0.447,0.433,0.12,-0.7783,0.9283003,0.066080995,0.005618791,Anger
i end up feeling angry a lot of the time when im encountering discrimination about these diseases,"['end', 'feeling', 'angry', 'lot', 'time', 'im', 'encountering', 'discrimination', 'disease']",0.185,0.73,0.084,-0.4215,0.884726,0.1098416,0.0054324176,Anger
i feel like a rebellious teenager and want to run away from home to live far away on my own,"['feel', 'like', 'rebellious', 'teenager', 'want', 'run', 'away', 'home', 'live', 'far', 'away']",0.105,0.714,0.181,0.1531,0.84695345,0.14381766,0.009228844,Anger
i feel like such a traitor for writing this there are times when im becoming very impatient with him because hes not giving me what i want when i want it,"['feel', 'like', 'traitor', 'writing', 'time', 'im', 'becoming', 'impatient', 'he', 'giving', 'want', 'want']",0.143,0.696,0.161,-0.1101,0.9327827,0.060813423,0.0064039608,Anger
i was feeling vicious i left it there,"['feeling', 'vicious', 'left']",0.312,0.5,0.188,-0.25,0.7205074,0.2613995,0.01809318,Anger
i always feel really insincere when doing it even though i dont say things that arent true about me,"['always', 'feel', 'really', 'insincere', 'even', 'though', 'dont', 'say', 'thing', 'arent', 'true']",0.266,0.734,0.0,-0.6625,0.7464974,0.24093968,0.0125629045,Anger
i feel like it may have something to do with how distracted i get as of late,"['feel', 'like', 'may', 'something', 'distracted', 'get', 'late']",0.134,0.726,0.14,0.0258,0.29484972,0.6841689,0.020981476,Anger
i used a protractor on my arm because i was feeling really mad and i thought maybe i could express the anger and pain that way,"['used', 'protractor', 'arm', 'feeling', 'really', 'mad', 'thought', 'maybe', 'could', 'express', 'anger', 'pain', 'way']",0.362,0.586,0.052,-0.8748,0.65018886,0.3207823,0.029028809,Anger
i hate feeling jealous and sad,"['hate', 'feeling', 'jealous', 'sad']",0.797,0.081,0.122,-0.8519,0.92133605,0.06770277,0.010961198,Anger
i feel like getting mad angry and feel like doing something violent,"['feel', 'like', 'getting', 'mad', 'angry', 'feel', 'like', 'something', 'violent']",0.486,0.28,0.234,-0.7506,0.90606225,0.08565353,0.0082841925,Anger
i feel distracted too,"['feel', 'distracted']",0.545,0.455,0.0,-0.34,0.6982582,0.28407222,0.017669505,Anger
i was just so good i feel like using more adjectives assassin like dangerous locked in fully automatic slick,"['good', 'feel', 'like', 'using', 'adjective', 'assassin', 'like', 'dangerous', 'locked', 'fully', 'automatic', 'slick']",0.122,0.512,0.365,0.7326,0.021440525,0.08742836,0.89113116,Anger
i am working on having empathy for my wifes feelings since by nature i am selfish sarcastic insensitive and a boundary buster,"['working', 'empathy', 'wife', 'feeling', 'since', 'nature', 'selfish', 'sarcastic', 'insensitive', 'boundary', 'buster']",0.304,0.696,0.0,-0.7184,0.80339026,0.18246242,0.014147363,Anger
i see her in the hallway i really just feel the urge to have a verbally violent outburst,"['see', 'hallway', 'really', 'feel', 'urge', 'verbally', 'violent', 'outburst']",0.218,0.782,0.0,-0.5994,0.74297833,0.23976192,0.017259728,Anger
i feel like i have been wronged by being put on this miserable planet,"['feel', 'like', 'wronged', 'put', 'miserable', 'planet']",0.366,0.496,0.138,-0.631,0.9388388,0.054708567,0.006452618,Anger
i feel im mad i didnt hit my goal when i said i was going to,"['feel', 'im', 'mad', 'didnt', 'hit', 'goal', 'said', 'going']",0.225,0.775,0.0,-0.4939,0.89030975,0.09632214,0.013368077,Anger
i had killer pms which lasted a long time and i still feel pretty cranky,"['killer', 'pm', 'lasted', 'long', 'time', 'still', 'feel', 'pretty', 'cranky']",0.246,0.571,0.183,-0.2732,0.92918605,0.063647434,0.0071665724,Anger
i started feeling a little bitter that they kept calling me a diabetic on the phone,"['started', 'feeling', 'little', 'bitter', 'kept', 'calling', 'diabetic', 'phone']",0.167,0.733,0.1,-0.2516,0.8819081,0.112509914,0.0055819135,Anger
i can understand the low grade disgust that people who depend on horses to get a job done must feel for someone like me but i m starting to get disgusted with people who think horses exist solely to serve and if they re not serving some basic tenant of the universe is being violated,"['understand', 'low', 'grade', 'disgust', 'people', 'depend', 'horse', 'get', 'job', 'done', 'must', 'feel', 'someone', 'like', 'starting', 'get', 'disgusted', 'people', 'think', 'horse', 'exist', 'solely', 'serve', 'serving', 'basic', 'tenant', 'universe', 'violated']",0.217,0.755,0.029,-0.9091,0.8792363,0.113583125,0.007180539,Anger
im feeling really bitchy and part of me says well yeah but hes not done a b c or d and wont keep in touch when there are delays or problems,"['im', 'feeling', 'really', 'bitchy', 'part', 'say', 'well', 'yeah', 'he', 'done', 'b', 'c', 'wont', 'keep', 'touch', 'delay', 'problem']",0.181,0.682,0.136,-0.5341,0.901922,0.091543,0.006535003,Anger
i feel jealous of you,"['feel', 'jealous']",0.5,0.5,0.0,-0.4588,0.7677592,0.21142331,0.02081747,Anger
i said i feel resentful that my childhood was profoundly inadequate and that i can trace my own issues back to the way i was raised,"['said', 'feel', 'resentful', 'childhood', 'profoundly', 'inadequate', 'trace', 'issue', 'back', 'way', 'raised']",0.225,0.775,0.0,-0.7003,0.9081173,0.08636151,0.005521173,Anger
i feel utterly hated,"['feel', 'utterly', 'hated']",0.692,0.308,0.0,-0.6697,0.9001009,0.084822245,0.015076936,Anger
i feel like it would be rude like asking for a gift which i would never expect,"['feel', 'like', 'would', 'rude', 'like', 'asking', 'gift', 'would', 'never', 'expect']",0.144,0.478,0.378,0.5994,0.79549706,0.19387978,0.010623157,Anger
im feeling less stressed today and so here are some friday positives leia chook hasnt beaten charlie chook to a pulp just yet,"['im', 'feeling', 'less', 'stressed', 'today', 'friday', 'positive', 'leia', 'chook', 'hasnt', 'beaten', 'charlie', 'chook', 'pulp', 'yet']",0.077,0.658,0.265,0.628,0.021775125,0.17830706,0.7999178,Anger
i feel bitter every single day,"['feel', 'bitter', 'every', 'single', 'day']",0.412,0.588,0.0,-0.4215,0.91369945,0.07503709,0.011263513,Anger
i know this lj entry might feel a little obnoxious or smug or whatever and make you jealous i know ive been there,"['know', 'lj', 'entry', 'might', 'feel', 'little', 'obnoxious', 'smug', 'whatever', 'make', 'jealous', 'know', 'ive']",0.235,0.701,0.063,-0.6335,0.73503417,0.24558179,0.01938413,Anger
i feel like im going mad i do some crafts to make me glad,"['feel', 'like', 'im', 'going', 'mad', 'craft', 'make', 'glad']",0.181,0.508,0.311,0.3182,0.56603974,0.2819935,0.15196677,Anger
i feel tortured by mine,"['feel', 'tortured', 'mine']",0.545,0.455,0.0,-0.5574,0.86621743,0.123192094,0.010590449,Anger
i remember walking aimlessly around the mall and various shops just to kill time but feeling bitter and empty,"['remember', 'walking', 'aimlessly', 'around', 'mall', 'various', 'shop', 'kill', 'time', 'feeling', 'bitter', 'empty']",0.357,0.571,0.071,-0.7906,0.81639975,0.17178345,0.01181682,Anger
i cant make anyone appreciate me so ill do it and then not feel resentful because no one appreciates me,"['cant', 'make', 'anyone', 'appreciate', 'ill', 'feel', 'resentful', 'one', 'appreciates']",0.276,0.511,0.214,-0.1771,0.8484707,0.1341663,0.017363077,Anger
i hate feeling that way even though she obviously is feeling spiteful and hateful toward me,"['hate', 'feeling', 'way', 'even', 'though', 'obviously', 'feeling', 'spiteful', 'hateful', 'toward']",0.43,0.439,0.132,-0.8316,0.93409663,0.060416814,0.005486622,Anger
i will sit at a table with all boys a thousand times before id sit down with some girls that ask me how im doing today or how that made me feel or how someone offended them,"['sit', 'table', 'boy', 'thousand', 'time', 'id', 'sit', 'girl', 'ask', 'im', 'today', 'made', 'feel', 'someone', 'offended']",0.057,0.943,0.0,-0.25,0.5528051,0.4184557,0.028739247,Anger
i will stop feeling so hateful its horrible and i will stop feeling upset and i will stop thinking about it at all and move on,"['stop', 'feeling', 'hateful', 'horrible', 'stop', 'feeling', 'upset', 'stop', 'thinking', 'move']",0.478,0.435,0.087,-0.9254,0.87264663,0.11295094,0.014402411,Anger
i have the feeling this time didnt he just mentally and emotionally tortured me and hurt me he is likely to have hurt me physically as well,"['feeling', 'time', 'didnt', 'mentally', 'emotionally', 'tortured', 'hurt', 'likely', 'hurt', 'physically', 'well']",0.297,0.6,0.103,-0.8316,0.8660603,0.12758824,0.0063514356,Anger
i think that this is important to my job satisfaction if i have nothing new available then i start to feel dissatisfied at work and instruction on how to do the thing i want and like to do,"['think', 'important', 'job', 'satisfaction', 'nothing', 'new', 'available', 'start', 'feel', 'dissatisfied', 'work', 'instruction', 'thing', 'want', 'like']",0.065,0.723,0.212,0.5994,0.27215517,0.5218843,0.20596059,Anger
i got to the barn this morning the doors were all open and there was just enough of a breeze for it to feel really freakin cold,"['got', 'barn', 'morning', 'door', 'open', 'enough', 'breeze', 'feel', 'really', 'freakin', 'cold']",0.0,1.0,0.0,0.0,0.30225572,0.4949227,0.20282158,Anger
i feel so stubborn now about knowing the ocean in the river knowing beauty where it s hard to find knowing god in my self and in all those that i see and yet not able to use that word god anymore it feels spoiled and misunderstood,"['feel', 'stubborn', 'knowing', 'ocean', 'river', 'knowing', 'beauty', 'hard', 'find', 'knowing', 'god', 'self', 'see', 'yet', 'able', 'use', 'word', 'god', 'anymore', 'feel', 'spoiled', 'misunderstood']",0.129,0.72,0.152,0.2975,0.75658816,0.21802902,0.025382873,Anger
i can do is step back and count to whenever i feel offended,"['step', 'back', 'count', 'whenever', 'feel', 'offended']",0.167,0.833,0.0,-0.25,0.6119547,0.3636312,0.024414202,Anger
